,title,director,rating,revenue_millions
0,Shutter Island,Martin Scorsese,8.1,127.97
1,Diary of a Wimpy Kid,Thor Freudenthal,6.2,64.0
2,Scott Pilgrim vs. the World,Edgar Wright,7.5,31.49
3,Kick-Ass,Matthew Vaughn,7.7,48.04
4,Predators,Nimród Antal,6.4,52.0
5,Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,5.9,88.76
6,Black Swan,Darren Aronofsky,8.0,106.95
7,She's Out of My League,Jim Field Smith,6.4,31.58
8,The Social Network,David Fincher,7.7,96.92
9,Robin Hood,Ridley Scott,6.7,105.22
